client,conversion,rate,remainder,balanceUSD_UAH
100,4030.0,40.3,46312.48,15800.98
client,conversion,rate,remainder,balanceUSD_UAH
50,2015.0,40.3,48327.48,15750.98
client,conversion,rate,remainder,balanceUSD_UAH
100,3980.0,39.8,46362.48,15800.98
client,conversion,rate,remainder,balanceUSD_UAH
100,3980.0,39.8,46362.48,15800.98
client,conversion,rate,remainder,balanceUSD_UAH
100,3980.0,39.8,46020.0,15100.0
client,conversion,rate,remainder,balanceUSD_UAH
1000,39800.0,39.8,10200.0,16000.0
client,conversion,rate,remainder,balanceUSD_UAH
1000,39990.0,39.99,10010.0,16000.0
client,conversion,rate,remainder,balanceUSD_UAH
100,3999.0,39.99,46001.0,15100.0
